Wall time,Step,Value
1611172950.9346027,20988,0.5039700269699097
1611173006.2726817,21081,0.4719666838645935
1611173044.203679,21145,0.5044733285903931
1611173082.7844656,21210,0.5759807825088501
1611173096.510487,21233,0.5406509637832642
1611173146.3207796,21317,0.5257282853126526
1611173148.1072657,21320,0.33502206206321716
1611173151.0824323,21325,0.4806315302848816
1611173190.888701,21392,0.5241371393203735
1611173201.536531,21410,0.42267322540283203
1611173246.015755,21485,0.523872435092926
1611173269.1867142,21524,0.5176594853401184
1611173363.047232,21682,0.5950983166694641
1611173388.6135626,21725,0.42865699529647827
1611173430.5898118,21796,0.4267234802246094
1611173445.9757288,21822,0.509173572063446
1611173458.2761467,21843,0.5141205787658691
1611173461.7747967,21849,0.5208451151847839
1611173555.2117615,22007,0.6183558702468872
1611173696.8348618,22246,0.5546722412109375
1611173724.8112562,22293,0.4844851493835449
1611173747.3176327,22331,0.5016346573829651
1611173763.8587692,22359,0.5309619903564453
1611173831.3222482,22473,0.5582523941993713
1611173852.0006297,22508,0.4193933606147766
1611173873.6343694,22545,0.4352598190307617
1611173927.3755774,22636,0.48365318775177
1611174003.9437754,22766,0.3884005546569824
1611174048.3519228,22841,0.5132745504379272
1611174101.7092977,22931,0.5356903076171875
1611174103.481449,22934,0.511285662651062
1611174192.7548745,23085,0.5082459449768066
1611174224.6267855,23139,0.4314219355583191
1611174230.4618828,23149,0.44094449281692505
1611174250.3241127,23183,0.4415683150291443
1611174256.1881223,23193,0.6468545198440552
1611174271.6363113,23219,0.4183831810951233
1611174298.3137643,23264,0.4489527940750122
1611174312.0719817,23287,0.4386430084705353
1611174356.5702567,23362,0.45905399322509766
1611174395.751683,23428,0.48111262917518616
1611174462.7596147,23541,0.5136861205101013
1611174491.5880866,23590,0.5187278985977173
1611174539.2113888,23671,0.4424112141132355
1611174545.6202106,23682,0.4002784490585327
1611174557.3985627,23702,0.40788835287094116
1611174600.4671605,23775,0.372707724571228
1611174697.7618914,23939,0.46834662556648254
1611174781.2091753,24080,0.4093703031539917
1611174804.2904398,24119,0.5069451332092285
1611174821.3421202,24148,0.4291173219680786
1611174872.050803,24235,0.535641074180603
1611174900.4128509,24283,0.506504237651825
1611174901.608651,24285,0.49384188652038574
1611174924.247753,24323,0.570819616317749
1611174937.8540022,24346,0.5080615282058716
1611174979.8138714,24417,0.6325255632400513
1611175063.2364135,24558,0.5069289207458496
1611175101.062737,24622,0.40693339705467224
1611175159.1279485,24720,0.4930490553379059
1611175163.8520877,24728,0.3946645259857178
1611175266.935753,24902,0.3916167616844177
1611175286.5130296,24935,0.4461253881454468
1611175330.2183309,25009,0.5275900363922119
1611175353.2279806,25048,0.4985019564628601
1611175403.7315981,25134,0.6322801113128662
1611175461.4271975,25232,0.5175253748893738
1611175469.1425934,25245,0.45492464303970337
1611175474.4891965,25254,0.4253693222999573
1611175521.2377298,25333,0.44833487272262573
1611175556.13412,25392,0.3742094039916992
1611175623.8389237,25506,0.4652496576309204
1611175632.6963782,25521,0.5843658447265625
1611175679.5019445,25600,0.4408300518989563
1611175731.0349956,25687,0.5934539437294006
1611175805.6971521,25813,0.5426853895187378
1611175826.4350238,25848,0.5210859775543213
1611175870.2201,25922,0.4550645351409912
1611175943.6268785,26046,0.49138569831848145
1611175956.0609157,26067,0.47505366802215576
1611175970.8437073,26092,0.46573352813720703
1611176008.812132,26156,0.37740182876586914
1611176017.0904026,26170,0.4865136742591858
1611176090.0026987,26293,0.42875945568084717
1611176096.5001478,26304,0.6098996996879578
1611176155.5237303,26404,0.5333687663078308
1611176194.8958538,26471,0.5943875312805176
